Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Aleksei Miranchuk,"MF,FW",0.3559527415934565,0.3435114503816794,0.06972789115646259,0.06377551020408165,0.03833333333333333,0.03377777777777778,2.5995331048449914,Italy,27.0,2.0,0.87481,4.608399018149244,0.10126708176577998
Ivan Rakitić,MF,0.43138442896092094,0.310126582278481,0.03368421052631579,0.08912280701754385,0.021666666666666667,0.005333333333333333,2.5586215856095933,Spain,35.0,3.0,0.8173900000000001,5.367451530646235,0.15925762699783738
Marco Asensio,"MF,FW",0.33686761587397757,0.2661290322580645,0.06469002695417789,0.0637915543575921,0.05333333333333333,0.035555555555555556,2.414716285540388,France,27.0,5.0,0.6495000000000001,4.431940585601252,0.17611588873753142
Raphinha,"FW,MF",0.41411693426234475,0.2697368421052632,0.0716374269005848,0.04166666666666667,0.065,0.052444444444444446,2.1502105263157896,Spain,26.0,3.0,0.8173900000000001,4.201984342105263,0.17837184859810676
Ousmane Dembélé,"MF,FW",0.45592244774310814,0.3532934131736527,0.21248339973439573,0.08831341301460822,0.03,0.042666666666666665,4.370578858219815,France,26.0,5.0,0.6495000000000001,5.60325125784288,0.18214213003600496
Jóhann Berg Guðmundsson,"MF,FW",0.3607997576491972,0.2651515151515152,0.021812080536912755,0.04949664429530202,0.013333333333333332,0.020444444444444446,1.6945513524506812,England,32.0,1.0,0.99232,4.549538379092943,0.19122421435362272
Harvey Elliott,"MF,FW",0.4092699182066041,0.2466666666666667,0.0650887573964497,0.09467455621301776,0.03333333333333333,0.035555555555555556,2.9232741617357005,England,20.0,1.0,0.99232,4.148208205128205,0.19467073151306136
Nabil Fekir,"MF,FW",0.3174795516510148,0.25641025641025644,0.06101048617731173,0.06387035271687322,0.015,0.015111111111111113,2.2715812373200364,Spain,30.0,3.0,0.8173900000000001,4.680875304258024,0.19711666491773047
Michael Olise,"FW,MF",0.385943653438352,0.25352112676056343,0.10666666666666667,0.061176470588235284,0.11833333333333332,0.037333333333333336,2.765218724109362,England,21.0,1.0,0.99232,4.145472170671086,0.20062555998989928
Arne Maier,MF,0.3035443804907604,0.2522522522522523,0.03389830508474577,0.0638085742771685,0.03,0.032,2.084143587256249,Germany,24.0,4.0,0.78425,3.9507558317165614,0.20346383507958782
