Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Aleksei Miranchuk,"MF,FW",0.04020715917291836,2.052506851269046,0.39893043579615345,0.34615568295087645,0.24876813035553488,0.613294409776995,2.5995331048449914,Italy,27.0,2.0,0.87481,4.608399018149244,1.3405954440837224
Marco Asensio,"MF,FW",-0.029321346123654356,1.347822239378318,0.3014669145252281,0.346488367942961,0.5214240736411984,0.6613757844414692,2.414716285540388,France,27.0,5.0,0.6495000000000001,4.431940585601252,1.8426678534800012
Julian Brandt,"MF,FW",1.1957046995778648,1.87379310141712,0.33796683024191065,0.10575194047208933,0.40024365440312576,0.7815792211026544,2.349234817813765,Germany,27.0,4.0,0.78425,4.423065131578948,1.8432451955626608
Raphinha,"FW,MF",0.2521035562672352,1.3806768353394758,0.43587269349544694,-0.11228423614209684,0.7334898073078254,1.118148843753973,2.1502105263157896,Spain,26.0,3.0,0.8173900000000001,4.201984342105263,1.8799577099554214
Giovani Lo Celso,MF,-0.6992229765207915,1.8514086514216068,0.9616405084675999,1.8103338921670924,0.6426044928792709,0.5652130351125209,4.09515753811406,England,27.0,1.0,0.99232,5.60993239977414,1.8817365275490812
Luka Modrić,MF,0.6052642180910965,1.5884543990337543,0.2648287272342924,1.4314198516093593,-0.11477312735868307,0.4690502857835727,3.347319653120904,Spain,37.0,3.0,0.8173900000000001,6.080105274528588,1.8936865746404472
Kevin Stöger,MF,1.686818744926672,2.8315023638245496,0.22465502355520897,1.2231976155853796,0.279063235165053,0.5171316604480469,3.439880222051136,Germany,29.0,4.0,0.78425,5.33198464433324,1.922937675186414
Thomas Müller,"MF,FW",0.5677408977723113,1.4484026776532684,-0.06109657390164499,0.05173670598339108,0.36994854959360757,0.8777419704316026,2.0342728563167025,Germany,33.0,4.0,0.78425,4.818339856605857,1.9295902189726193
Harvey Elliott,"MF,FW",0.23444552317604211,1.1705877993619718,0.30918083284087083,0.9868656381511374,0.1578828159269804,0.6613757844414692,2.9232741617357005,England,20.0,1.0,0.99232,4.148208205128205,1.9306046107900925
Luis Muriel,"FW,MF",-0.8062748021361494,1.95981961512537,0.8474071297292601,0.24049118777531886,0.8849653313554161,0.2286434124612022,2.669087204563977,Italy,32.0,2.0,0.87481,5.153609182966585,1.9877940228044553
James Maddison,MF,1.0985855175763029,1.4987299467144266,0.10108916069668006,1.1992701704735749,0.06699750149842593,0.613294409776995,3.073918408284667,England,26.0,1.0,0.99232,4.846126965385034,2.017199092885794
Jonas Hofmann,MF,1.174735785282073,1.8235315464692103,0.1559594553353366,0.14330417889319397,0.1578828159269804,0.3969282237868615,2.230123078632542,Germany,31.0,4.0,0.78425,4.745642501111153,2.0639848763644872
Pablo Sarabia,"MF,FW",0.6681709609784718,1.3182949433113476,-0.040934159497620734,0.31896454734851354,0.1881779207364985,0.5652130351125209,2.20205113283904,England,31.0,1.0,0.99232,4.779413236345376,2.082182854752004
Isco,MF,1.3093782876024203,1.7833366509564526,0.7134344595232281,0.9493078524487178,0.4911289688316801,0.15652135046449103,3.1613068047751405,Spain,31.0,3.0,0.8173900000000001,5.359196923103841,2.112515043269983
Imran Louza,MF,-0.3052281131735461,1.2958024624398188,-0.09817876890478161,1.0180016522678486,-0.14506823216820122,0.44500959845133564,2.751295674005408,France,24.0,5.0,0.6495000000000001,4.350717188103515,2.113786980388666
Oscar Bobb,"FW,MF",-0.924362898433503,1.3348622949507336,0.7155275720661443,0.7402552058593793,0.4608338640221619,0.42096891111909857,2.9143124269575376,England,20.0,1.0,0.99232,4.1423830775224,2.1400408802682183
