Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Cluster
Thomas Müller,"MF,FW",0.5677408977723113,1.4484026776532684,-0.06109657390164499,0.05173670598339108,0.36994854959360757,0.8777419704316026,2.0342728563167025,Germany,33.0,4.0,0.78425,4.818339856605857,14
Raphinha,"FW,MF",0.2521035562672352,1.3806768353394758,0.43587269349544694,-0.11228423614209684,0.7334898073078254,1.118148843753973,2.1502105263157896,Spain,26.0,3.0,0.8173900000000001,4.201984342105263,14
Harvey Elliott,"MF,FW",0.23444552317604211,1.1705877993619718,0.30918083284087083,0.9868656381511374,0.1578828159269804,0.6613757844414692,2.9232741617357005,England,20.0,1.0,0.99232,4.148208205128205,14
Michael Olise,"FW,MF",0.14946623892467548,1.2330080838156319,1.1135553220779246,0.2922630625977744,1.7029331612124066,0.7094571591059432,2.765218724109362,England,21.0,1.0,0.99232,4.145472170671086,14
Kevin De Bruyne,MF,0.08987037724189886,2.8749356910953736,0.5393487401784227,0.9087864927467975,0.43053875921264373,1.478759153737529,3.4478853880618585,England,32.0,1.0,0.99232,5.689205502240208,14
Aleksei Miranchuk,"MF,FW",0.04020715917291836,2.052506851269046,0.39893043579615345,0.34615568295087645,0.24876813035553488,0.613294409776995,2.5995331048449914,Italy,27.0,2.0,0.87481,4.608399018149244,14
Marco Asensio,"MF,FW",-0.029321346123654356,1.347822239378318,0.3014669145252281,0.346488367942961,0.5214240736411984,0.6613757844414692,2.414716285540388,France,27.0,5.0,0.6495000000000001,4.431940585601252,14
Amine Adli,"MF,FW",-0.26660116578656123,0.8366820311543802,0.42875446963405406,-0.07572371149968143,0.7637849121173438,1.1421895310862102,2.063162583518931,Germany,23.0,4.0,0.78425,3.837118179287305,14
Alexis Sánchez,"FW,MF",-0.4155908199935027,0.8527523622445847,-0.13866520280177977,0.46408183009935083,0.279063235165053,1.118148843753973,2.2523144707424256,Italy,34.0,2.0,0.87481,5.082706905982577,14
Gianluca Gaetano,MF,-0.43545610722109496,1.4539017845078068,-0.0671254323568825,0.16488612485417592,1.006145750593489,-0.01176346086116837,2.04089783743475,Italy,23.0,2.0,0.87481,3.845286094332588,14
Gianluca Gaetano,MF,-0.43545610722109496,1.4539017845078068,-0.0671254323568825,0.16488612485417592,1.006145750593489,-0.01176346086116837,2.04089783743475,Italy,23.0,2.0,0.87481,3.845286094332588,14
Mama Samba Baldé,"FW,MF",-0.6495597584518109,0.8650466046086764,0.6650699442537256,-0.5623080098545412,0.5517191784507165,0.8777419704316026,1.716937312189462,France,27.0,5.0,0.6495000000000001,3.97838425292315,14
Luis Muriel,"FW,MF",-0.8062748021361494,1.95981961512537,0.8474071297292601,0.24049118777531886,0.8849653313554161,0.2286434124612022,2.669087204563977,Italy,32.0,2.0,0.87481,5.153609182966585,14
Oscar Bobb,"FW,MF",-0.924362898433503,1.3348622949507336,0.7155275720661443,0.7402552058593793,0.4608338640221619,0.42096891111909857,2.9143124269575376,England,20.0,1.0,0.99232,4.1423830775224,14
David Brooks,"FW,MF",-0.9464354397974944,1.2743825542886718,0.1476174639541841,0.5678725341652353,0.5214240736411984,0.4690502857835727,2.4951928620452986,England,26.0,1.0,0.99232,4.469955360329444,14
