Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Correlation with Target
Mario Martín,MF,0.005149954559224457,0.0,0.0,0.0,0.0,0.0,0.0,Spain,19,3,0.8173900000000001,2.1043475000000003,0.9999961720785447
Elias Baum,"DF,MF",0.008179339594062418,0.0,0.0,0.0,0.0,0.0,0.0,Germany,17,4,0.78425,1.8960625,0.9999961720785446
Alberto Dadie,MF,0.008179339594062418,0.0,0.0,0.0,0.0,0.0,0.0,Spain,21,3,0.8173900000000001,2.3043475,0.9999961720785446
Pablo Gozalbez,"MF,FW",0.03089972735534685,0.0,0.0,0.0,0.0,0.0,0.0,Spain,22,3,0.8173900000000001,2.4043475,0.9999961720785446
Tomás Mendes,MF,0.0015146925174189252,0.0,0.0,0.0,0.0,0.0,0.0,Spain,18,3,0.8173900000000001,2.0043475,0.9999961720785445
Davide Bettella,MF,0.0006058770069675701,0.0,0.0,0.0,0.0,0.0,0.0,Italy,23,2,0.87481,2.5187025000000003,0.9999961720785445
Mohamed Bechikh,"FW,MF",0.0039382005452893165,0.0,0.0,0.0,0.0,0.0,0.0,France,18,5,0.6495000000000001,1.962375,0.9999961720785445
Marko Mladenović,MF,0.0015146925174189252,0.0,0.0,0.0,0.0,0.0,0.0,Germany,18,4,0.78425,1.9960625,0.9999961720785445
Thiago Alcántara,MF,0.0015146925174189252,0.0,0.0,0.0,0.0,0.0,0.0,England,32,1,0.99232,3.44808,0.9999961720785445
Unai Ropero,MF,0.0012117540139351402,0.0,0.0,0.0,0.0,0.0,0.0,Spain,21,3,0.8173900000000001,2.3043475,0.9999961720785445
Victor Parada,MF,0.0006058770069675701,0.0,0.0,0.0,0.0,0.0,0.0,Spain,21,3,0.8173900000000001,2.3043475,0.9999961720785445
Kaine Kesler-Hayden,"MF,DF",0.0015146925174189252,0.0,0.0,0.0,0.0,0.0,0.0,England,20,1,0.99232,2.24808,0.9999961720785445
Raimane Daou,"DF,MF",0.007270524083611063,0.0,0.0,0.0,0.0,0.0,0.0,France,18,5,0.6495000000000001,1.962375,0.9999961720785445
Asaf Arania,MF,0.0015146925174189252,0.0,0.0,0.0,0.0,0.0,0.0,Germany,17,4,0.78425,1.8960625,0.9999961720785445
Alois Confais,"MF,FW",0.0018176310209027657,0.0,0.0,0.0,0.0,0.0,0.0,France,26,5,0.6495000000000001,2.762375,0.9999961720785445
Zack Nelson,"MF,DF",0.0018176310209027657,0.0,0.0,0.0,0.0,0.0,0.0,England,18,1,0.99232,2.04808,0.9999961720785445
Kofi Amoako,MF,0.00030293850348378504,0.0,0.0,0.0,0.0,0.0,0.0,Germany,18,4,0.78425,1.9960625,0.9999961720785445
Jonny Castro,MF,0.0012117540139351402,0.0,0.0,0.0,0.0,0.0,0.0,England,29,1,0.99232,3.14808,0.9999961720785445
Hugo Boutsingkham,"MF,FW",0.0030293850348379614,0.0,0.0,0.0,0.0,0.0,0.0,France,20,5,0.6495000000000001,2.162375,0.9999961720785445
Iñaki González,MF,0.0012117540139351402,0.0,0.0,0.0,0.0,0.0,0.0,Spain,19,3,0.8173900000000001,2.1043475000000003,0.9999961720785445
Andrea Sodero,MF,0.0012117540139351402,0.0,0.0,0.0,0.0,0.0,0.0,Italy,18,2,0.87481,2.0187025,0.9999961720785445
Liam Henderson,MF,0.0012117540139351402,0.0,0.0,0.0,0.0,0.0,0.0,Italy,27,2,0.87481,2.9187025,0.9999961720785445
Djaoui Cissé,MF,0.0009088155104513551,0.0,0.0,0.0,0.0,0.0,0.0,France,19,5,0.6495000000000001,2.0623750000000003,0.9999961720785444
Niccolò Pisilli,MF,0.002726446531354121,0.0,0.0,0.0,0.0,0.0,0.0,Italy,18,2,0.87481,2.0187025,0.9999961720785444
Ilia Gruev,MF,0.0009088155104513551,0.0,0.0,0.0,0.0,0.0,0.0,Germany,23,4,0.78425,2.4960625000000003,0.9999961720785444
Abdellah Baallal,MF,0.0009088155104513551,0.0,0.0,0.0,0.0,0.0,0.0,France,18,5,0.6495000000000001,1.962375,0.9999961720785444
Finley Munroe,MF,0.0009088155104513551,0.0,0.0,0.0,0.0,0.0,0.0,England,18,1,0.99232,2.04808,0.9999961720785444
Peru Nolaskoain,"DF,MF",0.002726446531354121,0.0,0.0,0.0,0.0,0.0,0.0,Spain,24,3,0.8173900000000001,2.6043475000000003,0.9999961720785444
Jon Karrikaburu,"MF,FW",0.004544077552256887,0.0,0.0,0.0,0.0,0.0,0.0,Spain,20,3,0.8173900000000001,2.2043475,0.9999961720785444
Aljoscha Kemlein,MF,0.008482278097546203,0.0,0.0,0.0,0.0,0.0,0.0,Germany,18,4,0.78425,1.9960625,0.9999961720785444
Michael Obafemi,"FW,MF",0.005755831566192027,0.0,0.0,0.0,0.0,0.0,0.0,England,23,1,0.99232,2.54808,0.9999961720785444
Sydie Peck,MF,0.002726446531354121,0.0,0.0,0.0,0.0,0.0,0.0,England,18,1,0.99232,2.04808,0.9999961720785444
Simon Zoller,"FW,MF",0.013329294153286875,0.0,0.0,0.0,0.0,0.0,0.0,Germany,32,4,0.78425,3.3960625,0.9999961720785444
Przemysław Szymiński,MF,0.002423508027870336,0.0,0.0,0.0,0.0,0.0,0.0,Italy,29,2,0.87481,3.1187025000000004,0.9999961720785443
Ibrahima Kebe,MF,0.002423508027870336,0.0,0.0,0.0,0.0,0.0,0.0,Spain,22,3,0.8173900000000001,2.4043475,0.9999961720785443
Asier Osambela,MF,0.002423508027870336,0.0,0.0,0.0,0.0,0.0,0.0,Spain,19,3,0.8173900000000001,2.1043475000000003,0.9999961720785443
Jesús Corona,"MF,DF",0.004847016055740672,0.0,0.0,0.0,0.0,0.0,0.0,Spain,30,3,0.8173900000000001,3.2043475,0.9999961720785443
Vinicius Souza,MF,0.8079369887912754,0.013513513513513514,0.005247376311844076,0.024737631184407794,0.0049999999999999975,0.0,0.5225307751529641,England,24,1,0.99232,2.987725003849427,0.9997087209699
Morten Frendrup,MF,0.9524386549530446,0.03724928366762177,0.022893481717011128,0.033386327503974564,0.01,0.012444444444444449,0.929493797859886,Italy,22,2,0.87481,3.022873468608926,0.999650453793873
Erhan Mašović,"DF,MF",0.6719176007270525,0.016194331983805682,0.0135196034249662,0.021180712032447046,0.0,0.0,0.5353179113763541,Germany,24,4,0.78425,2.9440191423946307,0.9995664006024498
Édgar González,"DF,MF",0.7637079672826417,0.02500000000000001,0.004758128469468673,0.028548770816812057,0.011666666666666665,0.0,0.6137010309278351,Spain,26,3,0.8173900000000001,3.203253170103093,0.9994091610557979
Chris Richards,"DF,MF",0.6340502877915783,0.025751072961373384,0.0009551098376313211,0.020534861509073542,0.0066666666666666645,0.0035555555555555566,0.4457256416247525,England,23,1,0.99232,2.8378016670560893,0.9993123269085215
Lennard Maloney,MF,0.691608603453499,0.03149606299212597,0.0026269702276707427,0.027145359019264452,0.0066666666666666645,0.0035555555555555566,0.5912513203800489,Germany,23,4,0.78425,2.880375858247032,0.9990716756581051
Danley Jean-Jacques,MF,0.8121781278400485,0.03355704697986578,0.02609992542878448,0.03131991051454139,0.0,0.0,0.8657718120805369,France,23,5,0.6495000000000001,3.0251266778523496,0.9990291393079288
Javier Guerra,MF,0.7564374431990306,0.043165467625899276,0.0376301040832666,0.03242594075260209,0.023333333333333334,0.0035555555555555566,1.0346688055480355,Spain,20,3,0.8173900000000001,2.876882223606223,0.9989882426742588
Nemanja Maksimović,MF,0.9887912753710997,0.05509641873278236,0.013476263399693718,0.022358346094946406,0.018333333333333333,0.0,0.6449294377718435,Spain,28,3,0.8173900000000001,3.4235516345516985,0.9989724076859842
