Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Correlation with Target
Mahmoud Dahoud,MF,-0.758818838203568,1.4741384977325094,-0.6076285986878196,-0.4716399657782836,-0.44801928026338284,0.1805620377967281,1.2173451327433629,Germany,27.0,4.0,0.78425,3.687336836283186,0.9818813852851048
Mahmoud Dahoud,MF,-0.758818838203568,1.4741384977325094,-0.6076285986878196,-0.4716399657782836,-0.44801928026338284,0.1805620377967281,1.2173451327433629,England,27.0,1.0,0.99232,3.739354336283186,0.9818813852851048
Ianis Hagi,"MF,FW",-0.3703421101973205,1.3800036744176012,-0.13191636752879315,-0.1509700387291617,-0.44801928026338284,0.2286434124612022,1.7023407680697638,Spain,24.0,3.0,0.8173900000000001,3.710868999245347,0.9758355287454408
Ezequiel Ávila,"FW,MF",-0.3041244861053465,0.9163640894766464,-0.32307905387363295,-0.04028565910505942,-0.14506823216820122,0.44500959845133564,1.6446666666666667,Spain,29.0,3.0,0.8173900000000001,4.173380833333334,0.9727293898075144
Ezequiel Ávila,"FW,MF",-0.3041244861053465,0.9163640894766464,-0.32307905387363295,-0.04028565910505942,-0.14506823216820122,0.44500959845133564,1.6446666666666667,Spain,29.0,3.0,0.8173900000000001,4.173380833333334,0.9727293898075144
Jordi,"MF,DF",-0.6252799629514204,-0.07966163955168075,-0.5448832018234858,-0.4696384300222616,-0.44801928026338284,-0.300251708848013,0.8470222513089006,Spain,22.0,3.0,0.8173900000000001,2.954911963350786,0.9708479072041601
Aleksei Miranchuk,"MF,FW",0.04020715917291836,2.052506851269046,0.39893043579615345,0.34615568295087645,0.24876813035553488,0.613294409776995,2.5995331048449914,Italy,27.0,2.0,0.87481,4.608399018149244,0.9655309774439114
José Callejón,"MF,FW",-0.3714457372655201,0.5614399934183981,-0.46819115866093136,-0.07247431309795667,-0.44801928026338284,-0.03580414819340541,1.401267871884926,Spain,36.0,3.0,0.8173900000000001,4.715171616725202,0.9606500710156723
Gelabert,"MF,FW",-0.42552346360729887,0.5504770869764445,-0.23161272057866272,-0.06874133013561269,-0.08447802254916494,0.2767247871256763,1.5631587722622209,France,22.0,5.0,0.6495000000000001,3.3784282019704435,0.9580275965024173
Mohamed Bouchenna,"MF,FW",-1.225653088051985,1.95981961512537,-0.9500391930046121,-0.26124680932217426,-0.44801928026338284,-0.300251708848013,1.2873563218390809,France,17.0,5.0,0.6495000000000001,2.699156609195403,0.9535639909456399
Hans Nicolussi Caviglia,MF,-0.9618862187522883,1.3527182183842943,-0.9500391930046121,0.10693531185127084,-0.44801928026338284,0.5171316604480469,1.57563184079602,Italy,23.0,2.0,0.87481,3.542863196517413,0.9525824011292796
Arne Maier,MF,-0.1507203236256067,1.221453051521359,-0.2942358513470261,0.3468412860203074,0.09729260630794402,0.5652130351125209,2.084143587256249,Germany,24.0,4.0,0.78425,3.9507558317165614,0.9522635458369092
Marquinhos,"FW,MF",-1.087699704527039,1.6027011464541492,-0.4475405286176307,-0.43768040249130485,-0.44801928026338284,-0.300251708848013,1.2895339954163485,France,20.0,5.0,0.6495000000000001,3.000572097020626,0.9504137708843946
Marquinhos,"FW,MF",-1.087699704527039,1.6027011464541492,-0.4475405286176307,-0.43768040249130485,-0.44801928026338284,-0.300251708848013,1.2895339954163485,France,29.0,5.0,0.6495000000000001,3.9005720970206266,0.9504137708843946
Marco Asensio,"MF,FW",-0.029321346123654356,1.347822239378318,0.3014669145252281,0.346488367942961,0.5214240736411984,0.6613757844414692,2.414716285540388,France,27.0,5.0,0.6495000000000001,4.431940585601252,0.9497032260361582
Medon Berisha,"FW,MF",-1.0314147240488611,0.9039910990539345,-0.38380899069537944,-0.2682226176271925,-0.44801928026338284,-0.300251708848013,1.312831389183457,Italy,19.0,2.0,0.87481,2.972042902969247,0.9476621681144147
Cesare Casadei,"FW,MF",-1.1704717346420064,0.9479839538902441,-0.4602620137919847,-0.18883968514350372,-0.44801928026338284,-0.300251708848013,1.3558368495077358,England,20.0,1.0,0.99232,3.1293739521800283,0.9406690538477902
Fabrizio Angileri,"DF,MF",-1.0766634338450434,0.9479839538902441,-0.4781806910802516,-0.09121148188735421,-0.44801928026338284,-0.300251708848013,1.432249322493225,Spain,29.0,3.0,0.8173900000000001,4.035309559620597,0.939929767813427
Nicolò Fagioli,MF,-0.7753732442265615,0.9686336612623893,-0.24171155624859253,0.1150796913432846,-0.44801928026338284,0.6854164717737061,1.848867463690281,Italy,22.0,2.0,0.87481,3.620466351398683,0.9381719632163563
