Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore
José Luis García Vayá,MF,3302.0,1.4986376021798364,0.8176862507571169,6.841308298001211,0.19,0.03,1.8595264301876329,Spain,24,3,0.8173900000000001,3.8130396796219617
Bryan Cristante,"MF,DF",3289.0,0.821917808219178,1.2861051991486774,6.403162055335969,0.08,0.11,1.7432370125407648,Italy,28,2,0.87481,4.151806558151497
Stanislav Lobotka,MF,3282.0,0.6301369863013698,0.7952468007312614,5.155393053016453,0.0,0.03,1.3251553680098167,Italy,28,2,0.87481,3.8800534892063814
Nemanja Maksimović,MF,3265.0,0.5509641873278237,0.6064318529862175,2.012251148545176,0.11,0.0,0.6449294377718435,Spain,28,3,0.8173900000000001,3.4235516345516985
Bruno Guimarães,MF,3263.0,1.7079889807162536,1.7928286852589643,7.805700275819798,0.19,0.22,2.346303588359003,England,25,1,0.99232,4.273177332433352
Walace,MF,3238.0,0.5833333333333334,1.0284126003705991,3.529956763434219,0.06,0.0,1.0343405394276304,Italy,28,2,0.87481,3.69102385062796
Declan Rice,MF,3225.0,1.3128491620111733,2.093023255813953,7.75813953488372,0.2,0.22,2.3188023905417694,England,24,1,0.99232,4.1553015538521505
Matteo Pessina,MF,3222.0,0.7541899441340782,1.927374301675978,5.307262569832402,0.17,0.08,1.6387653631284915,Italy,26,2,0.87481,3.8838999860335197
Kirian Rodríguez,MF,3211.0,1.0364145658263304,1.2893179694799128,8.296480847088135,0.17,0.06,2.159442676478876,Spain,27,3,0.8173900000000001,4.30798523971127
Tyrick Mitchell,"DF,MF",3204.0,0.6741573033707865,0.898876404494382,2.640449438202247,0.06,0.08,0.8726966292134832,England,23,1,0.99232,3.1153328089887644
Aleix García,MF,3199.0,1.6056338028169015,1.631759924976555,8.271334792122538,0.08,0.17,2.360745703983199,Spain,26,3,0.8173900000000001,4.338832207589079
Morgan Gibbs-White,"MF,FW",3156.0,2.108262108262108,2.281368821292776,4.847908745247148,0.14,0.29,1.9485079349604064,England,23,1,0.99232,3.814610157724265
Morten Frendrup,MF,3145.0,0.3724928366762178,1.0302066772655007,3.004769475357711,0.06,0.14,0.929493797859886,Italy,22,2,0.87481,3.022873468608926
Rubén Alcaraz,MF,3134.0,0.6609195402298851,0.7753669432035737,4.422463305679643,0.09,0.03,1.1897499578226205,Spain,32,3,0.8173900000000001,4.177684972584704
Conor Gallagher,MF,3128.0,1.4942528735632186,1.7838874680306906,4.948849104859336,0.14,0.2,1.7193978892906492,England,23,1,0.99232,3.6656886280389225
Matìas Soulé,"FW,MF",3121.0,2.3631123919308354,3.316244793335469,5.709708426786286,0.32,0.09,2.3368131224105184,Italy,20,2,0.87481,3.7376310295668373
Bruno Fernandes,"MF,FW",3118.0,3.2947976878612715,2.482360487491982,8.572803078896728,0.29,0.23,2.9679922508499965,England,28,1,0.99232,4.977274963052498
Pascal Groß,"MF,DF",3114.0,2.976878612716763,2.398843930635838,8.728323699421965,0.12,0.29,2.9198092485549134,England,32,1,0.99232,5.345956011560694
Martin Ødegaard,MF,3091.0,2.973760932944607,2.649627952119056,10.016175994823682,0.23,0.29,3.237912975977469,England,24,1,0.99232,4.752723434385356
Nélson Semedo,"DF,MF",3084.0,0.6997084548104957,3.0058365758754864,4.027237354085603,0.0,0.03,1.555556476954317,England,29,1,0.99232,4.159191710020306
Vitaly Janelt,"MF,DF",3054.0,1.0914454277286136,0.7367387033398822,3.624754420432221,0.03,0.09,1.1205877103001434,England,25,1,0.99232,3.476462011695093
Maxence Caqueret,MF,3022.0,1.6964285714285714,2.084712111184646,8.517538054268696,0.03,0.09,2.489735747376383,France,23,5,0.6495000000000001,4.080703235794649
Albert Guðmundsson,"FW,MF",3016.0,2.417910447761194,2.446949602122016,3.580901856763925,0.42,0.12,1.7671523813294274,Italy,26,2,0.87481,3.967351547864128
Manuel Locatelli,MF,3008.0,0.7784431137724551,0.6283244680851063,6.941489361702128,0.03,0.12,1.708651388711938,Italy,25,2,0.87481,3.8293259026627595
Sander Berge,MF,3005.0,0.8682634730538923,1.916805324459235,4.911813643926789,0.03,0.06,1.5603764882879831,England,25,1,0.99232,3.762324717387189
James Garner,MF,3004.0,1.3173652694610778,1.078561917443409,2.996005326231691,0.03,0.06,1.0993865026272356,England,22,1,0.99232,3.1626812267077034
James Ward-Prowse,MF,3001.0,1.921921921921922,0.5398200599800067,4.318560479840054,0.21,0.21,1.4400604923483964,England,28,1,0.99232,3.984119320026458
John McGinn,"MF,FW",2999.0,1.3213213213213215,1.770590196732244,5.67189063021007,0.18,0.12,1.8067604296527275,England,28,1,0.99232,4.222474279274273
Óscar Mingueza,"DF,MF",2998.0,1.4414414414414416,2.2214809873248837,5.103402268178786,0.06,0.06,1.7772649393890223,Spain,24,3,0.8173900000000001,3.759569710602865
İlkay Gündoğan,MF,2994.0,2.912912912912913,2.1342685370741483,6.733466933867736,0.15,0.27,2.4521296767709595,Spain,32,3,0.8173900000000001,4.998231789901124
Douglas Luiz,MF,2993.0,1.5915915915915917,1.804209822920147,5.051787504176412,0.27,0.15,1.76151778373763,England,25,1,0.99232,3.8930665594294593
Sávio,"FW,MF",2976.0,1.5709969788519638,5.473790322580645,2.8125,0.27,0.3,2.088457460286522,Spain,19,3,0.8173900000000001,3.4618448491862397
Ylber Ramadani,MF,2970.0,0.4848484848484848,1.0909090909090908,3.6666666666666665,0.03,0.0,1.0514848484848485,Italy,27,2,0.87481,3.6021676515151517
Mario Lemina,MF,2968.0,0.6060606060606061,0.9703504043126686,2.304582210242588,0.12,0.03,0.7971986441231725,England,29,1,0.99232,3.6662591186800624
Ander Guevara,MF,2932.0,0.6441717791411042,1.6268758526603002,5.740109140518418,0.03,0.0,1.6052313544639645,Spain,26,3,0.8173900000000001,3.847747880401577
Rodri,MF,2931.0,1.503067484662577,2.333674513817809,11.545547594677585,0.25,0.28,3.185457918631594,England,27,1,0.99232,5.018627647110536
Rodri,MF,2931.0,1.503067484662577,2.333674513817809,11.545547594677585,0.25,0.28,3.185457918631594,Spain,23,3,0.8173900000000001,4.574895147110537
Maximilian Eggestein,MF,2914.0,0.7716049382716049,1.2971859986273162,5.003431708991077,0.03,0.06,1.4354445291779996,Germany,26,4,0.78425,3.7291014439656998
Gustavo Hamer,MF,2910.0,2.1671826625387,1.11340206185567,4.175257731958762,0.12,0.19,1.5601684912706264,England,26,1,0.99232,3.8621895193259075
Ryan Christie,MF,2907.0,1.7027863777089784,1.8575851393188856,5.170278637770898,0.0,0.15,1.7911300309597524,England,28,1,0.99232,4.212314520123839
Federico Valverde,MF,2904.0,1.51702786377709,3.2231404958677685,7.159090909090909,0.06,0.22,2.451851853747153,Spain,25,3,0.8173900000000001,4.29805120493565
Dwight McNeil,"MF,FW",2892.0,2.149532710280374,2.489626556016597,3.5477178423236517,0.09,0.19,1.7033754217241246,England,23,1,0.99232,3.6552740241206814
Ermedin Demirović,"FW,MF",2873.0,1.0344827586206895,0.8771319178558998,1.8795683954055,0.47,0.28,0.8892366143764179,Germany,25,4,0.78425,3.2740662993446716
Lucas Ocampos,"FW,MF",2871.0,1.1285266457680252,3.6677115987460818,3.887147335423198,0.13,0.09,1.7766771159874608,Spain,29,3,0.8173900000000001,4.25918762539185
Tomáš Souček,MF,2870.0,0.6269592476489029,0.2195121951219512,2.696864111498258,0.22,0.06,0.7486671108538224,England,28,1,0.99232,3.534713622054985
Éderson,MF,2869.0,0.5642633228840126,1.0038340885325898,6.713140467061694,0.19,0.03,1.6842475756956592,Italy,24,2,0.87481,3.713463424202179
Moisés Caicedo,MF,2866.0,0.7232704402515723,0.8478715980460572,5.432658757850663,0.03,0.09,1.4307601592296584,England,21,1,0.99232,3.278074103499278
Carlton Morris,"FW,MF",2862.0,0.6918238993710691,1.1635220125786163,1.7610062893081762,0.35,0.13,0.7972704402515725,England,27,1,0.99232,3.466305786163522
Laurent Abergel,MF,2860.0,0.9433962264150944,1.1958041958041958,6.104895104895105,0.06,0.03,1.6638191054228788,France,30,5,0.6495000000000001,4.243857418524871
Phil Foden,"FW,MF",2857.0,2.302839116719243,2.929646482324116,5.292264613230662,0.6,0.25,2.2399500424548044,England,23,1,0.99232,4.004047527595623
Nicolò Barella,MF,2846.0,1.3291139240506329,2.1503865073787773,8.791286015460296,0.06,0.09,2.487157289377941,Italy,26,2,0.87481,4.435354738095661
Granit Xhaka,MF,2821.0,1.3099041533546325,1.914214817440624,12.506203473945408,0.1,0.0,3.1560644889481333,Germany,30,4,0.78425,5.247504417816287
Tijjani Reijnders,MF,2820.0,1.5974440894568689,2.8085106382978724,6.51063829787234,0.1,0.1,2.223318605125417,Italy,25,2,0.87481,4.163859593331521
Enzo Barrenechea,MF,2811.0,0.8012820512820513,0.3201707577374599,4.9626467449306295,0.0,0.03,1.2258199107900285,Italy,22,2,0.87481,3.2154854420135184
Isaac Palazón Camacho,"MF,FW",2791.0,1.1612903225806452,1.2898602651379434,4.127552848441419,0.13,0.03,1.3377406872320012,Spain,28,3,0.8173900000000001,3.8738789467008012
Lewis Cook,MF,2786.0,1.4838709677419355,0.7106963388370423,4.587221823402728,0.0,0.1,1.3863578259963412,England,26,1,0.99232,3.749212586897622
Andre-Frank Zambo Anguissa,MF,2786.0,1.2258064516129032,1.389088298636037,5.265613783201723,0.0,0.06,1.5941017066901328,Italy,27,2,0.87481,3.9548686093485865
Henrikh Mkhitaryan,MF,2785.0,1.2944983818770228,2.9730700179533214,6.204667863554758,0.06,0.26,2.1784472526770204,Italy,34,2,0.87481,5.034693214240064
Michael Folorunsho,"MF,FW",2781.0,0.5825242718446603,1.812297734627832,1.7475728155339807,0.16,0.03,0.8534789644012947,Italy,25,2,0.87481,3.2734638268608416
Felipe Anderson,"FW,MF",2770.0,1.3636363636363635,3.509025270758123,4.093862815884476,0.16,0.19,1.8663048900557928,Italy,30,2,0.87481,4.431800678536265
Téji Savanier,MF,2765.0,2.964169381107492,1.2694394213381557,7.291139240506329,0.29,0.2,2.393949608590395,France,31,5,0.6495000000000001,4.818442245583757
Julian Weigl,MF,2764.0,0.7817589576547231,0.4558610709117221,3.418958031837916,0.07,0.1,0.9683156120808722,Germany,27,4,0.78425,3.525467647852567
Dejan Kulusevski,"FW,MF",2762.0,2.1498371335504887,4.920347574221578,4.692251991310644,0.26,0.1,2.4084873398165425,England,23,1,0.99232,4.113596770880753
Antonio Candreva,"MF,FW",2750.0,1.96078431372549,2.1927272727272724,4.876363636363636,0.2,0.2,1.88597504456328,Italy,36,2,0.87481,5.044586278966132
Sean Longstaff,MF,2747.0,0.6557377049180327,0.7863123407353476,4.750637058609392,0.2,0.07,1.2795374208525545,England,25,1,0.99232,3.5797793235541606
Iván Martín,MF,2729.0,0.957095709570957,2.770245511176255,4.716013191645291,0.16,0.13,1.7436708824785008,Spain,24,3,0.8173900000000001,3.7377335736110258
Junya Ito,"FW,MF",2714.0,2.6490066225165565,4.078850405305822,4.609432571849668,0.1,0.23,2.3464579199344096,France,30,5,0.6495000000000001,4.687572647957366
