Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR
José Luis García Vayá,MF,3302.0,1.4986376021798364,0.8176862507571169,6.841308298001211,0.19,0.03,1.8595264301876329
Bryan Cristante,"MF,DF",3289.0,0.821917808219178,1.2861051991486774,6.403162055335969,0.08,0.11,1.7432370125407648
Stanislav Lobotka,MF,3282.0,0.6301369863013698,0.7952468007312614,5.155393053016453,0.0,0.03,1.3251553680098167
Nemanja Maksimović,MF,3265.0,0.5509641873278237,0.6064318529862175,2.012251148545176,0.11,0.0,0.6449294377718435
Bruno Guimarães,MF,3263.0,1.7079889807162536,1.7928286852589643,7.805700275819798,0.19,0.22,2.346303588359003
Walace,MF,3238.0,0.5833333333333334,1.0284126003705993,3.529956763434219,0.06,0.0,1.0343405394276304
Declan Rice,MF,3225.0,1.3128491620111733,2.093023255813953,7.75813953488372,0.2,0.22,2.3188023905417694
Matteo Pessina,MF,3222.0,0.7541899441340782,1.927374301675978,5.307262569832402,0.17,0.08,1.6387653631284917
Kirian Rodríguez,MF,3211.0,1.0364145658263304,1.2893179694799128,8.296480847088135,0.17,0.06,2.159442676478876
Tyrick Mitchell,"DF,MF",3204.0,0.6741573033707865,0.898876404494382,2.640449438202247,0.06,0.08,0.8726966292134832
Aleix García,MF,3199.0,1.6056338028169015,1.631759924976555,8.271334792122538,0.08,0.17,2.360745703983199
Morgan Gibbs-White,"MF,FW",3156.0,2.108262108262108,2.2813688212927756,4.847908745247148,0.14,0.29,1.9485079349604064
Morten Frendrup,MF,3145.0,0.3724928366762178,1.0302066772655007,3.004769475357711,0.06,0.14,0.929493797859886
Rubén Alcaraz,MF,3134.0,0.6609195402298851,0.7753669432035737,4.422463305679643,0.09,0.03,1.1897499578226203
Conor Gallagher,MF,3128.0,1.4942528735632186,1.7838874680306906,4.9488491048593355,0.14,0.2,1.7193978892906492
Matìas Soulé,"FW,MF",3121.0,2.3631123919308354,3.3162447933354695,5.709708426786286,0.32,0.09,2.3368131224105184
Bruno Fernandes,"MF,FW",3118.0,3.2947976878612715,2.482360487491982,8.572803078896728,0.29,0.23,2.9679922508499965
Pascal Groß,"MF,DF",3114.0,2.976878612716763,2.398843930635838,8.728323699421965,0.12,0.29,2.9198092485549134
Martin Ødegaard,MF,3091.0,2.973760932944607,2.6496279521190558,10.016175994823682,0.23,0.29,3.237912975977469
Nélson Semedo,"DF,MF",3084.0,0.6997084548104957,3.0058365758754864,4.027237354085603,0.0,0.03,1.555556476954317
Vitaly Janelt,"MF,DF",3054.0,1.0914454277286136,0.7367387033398822,3.6247544204322204,0.03,0.09,1.1205877103001434
Maxence Caqueret,MF,3022.0,1.6964285714285714,2.084712111184646,8.517538054268696,0.03,0.09,2.489735747376383
Albert Guðmundsson,"FW,MF",3016.0,2.417910447761194,2.446949602122016,3.5809018567639255,0.42,0.12,1.7671523813294274
Manuel Locatelli,MF,3008.0,0.7784431137724551,0.6283244680851063,6.941489361702128,0.03,0.12,1.708651388711938
Sander Berge,MF,3005.0,0.8682634730538923,1.9168053244592347,4.911813643926789,0.03,0.06,1.5603764882879831
James Garner,MF,3004.0,1.3173652694610778,1.0785619174434087,2.996005326231691,0.03,0.06,1.0993865026272356
James Ward-Prowse,MF,3001.0,1.9219219219219221,0.5398200599800067,4.318560479840054,0.21,0.21,1.4400604923483964
John McGinn,"MF,FW",2999.0,1.3213213213213215,1.770590196732244,5.67189063021007,0.18,0.12,1.8067604296527273
Óscar Mingueza,"DF,MF",2998.0,1.4414414414414416,2.2214809873248833,5.103402268178786,0.06,0.06,1.7772649393890223
İlkay Gündoğan,MF,2994.0,2.912912912912913,2.1342685370741483,6.733466933867736,0.15,0.27,2.4521296767709595
Douglas Luiz,MF,2993.0,1.5915915915915917,1.804209822920147,5.051787504176412,0.27,0.15,1.76151778373763
Sávio,"FW,MF",2976.0,1.5709969788519638,5.473790322580645,2.8124999999999996,0.27,0.3,2.088457460286522
Ylber Ramadani,MF,2970.0,0.48484848484848486,1.0909090909090908,3.6666666666666665,0.03,0.0,1.0514848484848485
Mario Lemina,MF,2968.0,0.6060606060606061,0.9703504043126686,2.3045822102425877,0.12,0.03,0.7971986441231725
Ander Guevara,MF,2932.0,0.6441717791411042,1.6268758526603002,5.740109140518418,0.03,0.0,1.6052313544639643
Rodri,MF,2931.0,1.5030674846625767,2.3336745138178094,11.545547594677583,0.25,0.28,3.185457918631594
Maximilian Eggestein,MF,2914.0,0.7716049382716049,1.2971859986273162,5.003431708991077,0.03,0.06,1.4354445291779996
Gustavo Hamer,MF,2910.0,2.1671826625387,1.11340206185567,4.175257731958762,0.12,0.19,1.5601684912706264
Ryan Christie,MF,2907.0,1.7027863777089784,1.8575851393188856,5.170278637770898,0.0,0.15,1.7911300309597524
Federico Valverde,MF,2904.0,1.51702786377709,3.2231404958677685,7.159090909090909,0.06,0.22,2.451851853747153
Dwight McNeil,"MF,FW",2892.0,2.149532710280374,2.4896265560165975,3.5477178423236513,0.09,0.19,1.7033754217241246
Ermedin Demirović,"FW,MF",2873.0,1.0344827586206897,0.8771319178558998,1.8795683954054996,0.47,0.28,0.8892366143764179
Lucas Ocampos,"FW,MF",2871.0,1.1285266457680252,3.6677115987460818,3.887147335423198,0.13,0.09,1.7766771159874608
Tomáš Souček,MF,2870.0,0.6269592476489029,0.21951219512195122,2.696864111498258,0.22,0.06,0.7486671108538224
Éderson,MF,2869.0,0.5642633228840126,1.0038340885325898,6.713140467061694,0.19,0.03,1.6842475756956592
Moisés Caicedo,MF,2866.0,0.7232704402515723,0.8478715980460572,5.432658757850663,0.03,0.09,1.4307601592296584
Carlton Morris,"FW,MF",2862.0,0.6918238993710691,1.1635220125786163,1.7610062893081762,0.35,0.13,0.7972704402515725
Laurent Abergel,MF,2860.0,0.9433962264150944,1.1958041958041958,6.104895104895105,0.06,0.03,1.6638191054228788
Phil Foden,"FW,MF",2857.0,2.302839116719243,2.929646482324116,5.292264613230662,0.6,0.25,2.2399500424548044
Nicolò Barella,MF,2846.0,1.3291139240506329,2.1503865073787773,8.791286015460296,0.06,0.09,2.487157289377941
Granit Xhaka,MF,2821.0,1.3099041533546325,1.914214817440624,12.506203473945408,0.1,0.0,3.1560644889481333
Tijjani Reijnders,MF,2820.0,1.5974440894568689,2.8085106382978724,6.51063829787234,0.1,0.1,2.223318605125417
Enzo Barrenechea,MF,2811.0,0.8012820512820513,0.32017075773745995,4.9626467449306295,0.0,0.03,1.2258199107900283
Isaac Palazón Camacho,"MF,FW",2791.0,1.1612903225806452,1.2898602651379434,4.127552848441419,0.13,0.03,1.3377406872320012
Lewis Cook,MF,2786.0,1.4838709677419355,0.7106963388370423,4.587221823402728,0.0,0.1,1.3863578259963412
Andre-Frank Zambo Anguissa,MF,2786.0,1.2258064516129032,1.3890882986360373,5.265613783201723,0.0,0.06,1.5941017066901328
Henrikh Mkhitaryan,MF,2785.0,1.2944983818770228,2.9730700179533214,6.204667863554758,0.06,0.26,2.1784472526770204
Michael Folorunsho,"MF,FW",2781.0,0.5825242718446603,1.8122977346278317,1.7475728155339807,0.16,0.03,0.8534789644012947
Felipe Anderson,"FW,MF",2770.0,1.3636363636363635,3.509025270758123,4.093862815884476,0.16,0.19,1.8663048900557926
Téji Savanier,MF,2765.0,2.964169381107492,1.2694394213381555,7.291139240506329,0.29,0.2,2.393949608590395
Julian Weigl,MF,2764.0,0.7817589576547231,0.4558610709117221,3.418958031837916,0.07,0.1,0.9683156120808722
Dejan Kulusevski,"FW,MF",2762.0,2.1498371335504887,4.920347574221578,4.692251991310644,0.26,0.1,2.4084873398165425
Antonio Candreva,"MF,FW",2750.0,1.9607843137254901,2.1927272727272724,4.876363636363636,0.2,0.2,1.88597504456328
Sean Longstaff,MF,2747.0,0.6557377049180327,0.7863123407353476,4.750637058609392,0.2,0.07,1.2795374208525545
Iván Martín,MF,2729.0,0.957095709570957,2.770245511176255,4.716013191645291,0.16,0.13,1.7436708824785008
Junya Ito,"FW,MF",2714.0,2.6490066225165565,4.078850405305822,4.609432571849668,0.1,0.23,2.3464579199344096
Lewis Ferguson,MF,2712.0,1.0631229235880397,1.8915929203539823,4.712389380530974,0.2,0.1,1.5834210448945993
